"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
0,2084,"R85",-2.98977047939994,-2.98977047939994,-0.997527666929225,206
0,2085,"R26",-0.576431475429865,-0.576431475429865,-0.0407864222514981,206
0,2085,"R85",-3.0203489417336,-3.0203489417336,-1.03715147391604,206
0,2086,"R26",-0.565507039173423,-0.565507039173423,-0.0385704086209278,206
0,2086,"R85",-2.9988479251036,-2.9988479251036,-0.988629298153099,206
0,2087,"R26",-0.581798578640982,-0.581798578640982,-0.033313279501101,206
0,2087,"R85",-3.06119155533027,-3.06119155533027,-1.01807866855864,206
0,2088,"R26",-0.583386787480286,-0.583386787480286,-0.029324137973302,206
0,2088,"R85",-3.08690729920749,-3.08690729920749,-1.0155125372771,206
0,2089,"R26",-0.573145866020461,-0.573145866020461,-0.0333658388530149,206
0,2089,"R85",-3.14960741448198,-3.14960741448198,-0.986007439735201,206
0,2090,"R26",-0.567819971335688,-0.567819971335688,-0.0351188809852558,206
0,2090,"R85",-3.19422809215877,-3.19422809215877,-0.984719991225926,206
0,2091,"R26",-0.568999148547642,-0.568999148547642,-0.0248623957394898,206
0,2091,"R85",-3.22809793441279,-3.22809793441279,-0.96682060717143,206
0,2092,"R26",-0.570657719332847,-0.570657719332847,-0.0248995660549272,206
0,2092,"R85",-3.27496055800715,-3.27496055800715,-0.983141013762181,206
0,2093,"R26",-0.577454349121063,-0.577454349121063,-0.0260848261932699,206
0,2093,"R85",-3.29771089542065,-3.29771089542065,-0.962234771273431,206
0,2094,"R26",-0.579735763412258,-0.579735763412258,-0.0324440973775074,206
0,2094,"R85",-3.29921277969646,-3.29921277969646,-0.994775585513226,206
0,2095,"R26",-0.579601544749418,-0.579601544749418,-0.0337246802484127,206
0,2095,"R85",-3.33566092343154,-3.33566092343154,-0.958091494891371,206
0,2096,"R26",-0.590330374656648,-0.590330374656648,-0.0304941209333484,206
0,2096,"R85",-3.3978121245063,-3.3978121245063,-0.970880938260784,206
0,2097,"R26",-0.565712207041263,-0.565712207041263,-0.0353201560444011,206
0,2097,"R85",-3.38806546541807,-3.38806546541807,-0.971990281924054,206
0,2098,"R26",-0.559010208931504,-0.559010208931504,-0.0349247835026274,206
0,2098,"R85",-3.39492385308698,-3.39492385308698,-0.935645911175553,206
0,2099,"R26",-0.560207637060013,-0.560207637060013,-0.036006317408719,206
0,2099,"R85",-3.42917725467049,-3.42917725467049,-0.950697950439039,206
0,2100,"R26",-0.577010057767866,-0.577010057767866,-0.0406852300822601,206
0,2100,"R85",-3.46497851140377,-3.46497851140377,-0.983150080812007,206
1,1951,"R26",0.00818108438200785,0.00818108438200785,0.00189647989659904,21.6666666666667
1,1951,"R85",0.00408778784140151,0.00408778784140151,0.00189647989659904,21.6666666666667
1,1952,"R26",0.00691160976345335,0.00691160976345335,0.00156104773499856,21.6666666666667
1,1952,"R85",0.00408961455104286,0.00408961455104286,0.00156104773499856,21.6666666666667
1,1953,"R26",0.00319275041186401,0.00319275041186401,0.000642616297656694,21.6666666666667
1,1953,"R85",0.00188707517560539,0.00188707517560539,0.000521775569907898,21.6666666666667
1,1954,"R26",0.000324163539478113,0.000324163539478113,2.4849268187929e-05,21.6666666666667
1,1954,"R85",-6.63881161522331e-05,-6.63881161522331e-05,-0.000145030726239262,21.6666666666667
1,1955,"R26",0,0,0,21.6666666666667
1,1955,"R85",0,0,0,21.6666666666667
1,1956,"R26",-0.000597768112993243,-0.000597768112993243,-0.000283573859561291,21.6666666666667
1,1956,"R85",-1.494651822355e-05,-1.494651822355e-05,-0.000228309939433262,21.6666666666667
1,1957,"R26",-0.0025235627742679,-0.0025235627742679,0.000158316248932274,21.6666666666667
